redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,median_ccg_imd_rank,median_ccg_imd_quintile,median_ccg_imd_decile,mean_ccg_imd_rank,mean_ccg_imd_quintile,mean_ccg_imd_decile,nhs_region
derbyshire_healthc,derbyshire_healthc,DEA01,derbyshire_healthc,DE22 3LZ,England,-1.512301,52.918022,E38000229,DE22,Derby,Community,17082.327772628978,-0.8025117761575533,17006.682207707327,-0.7818971932763845,-3.8186739054206345,8087.363002828692,16770.316455696207,-1.477599693277108,0.0736318539236899,0.18889772953311926,0.048734051319939756,0.1155774406605585,82803,3,5,81677.49397590362,2.8822984244670993,5.262897744825455,Midlands
shropshire_communi,shropshire_communi,RIDHQ,shropshire_communi,SY3 8XL,England,-2.7894656,52.70647409999999,E38000147,SY3,Shropshire,Community,17857.037601626016,-1.5350261804695122,17964.94175004655,-1.5920025938892461,3.995820551252773,14380.039737916568,17031,-2.216224139119048,0.009068072609912815,0.04630400909420539,0.012831192079156173,0.04602634836947823,82190,3,5,77548.98069105692,2.7936991869918697,5.060975609756097,Midlands
united_lincolnshir,NA,RWDLA1,Pilgrim Hospital,PE21 9QS,England,-0.0097936,52.99102,E38000099,PE21,Boston,Acute,11980.62676962677,-0.9113038448610039,12161.996492415617,-0.8724448234589529,-0.6016328860170657,4716.480359123994,10746.481366459628,-1.351436074329513,0.10812414563068388,0.2542295401899722,0.02382344279516674,0.0926652806287279,115301,4,7,108481.42084942084,3.6576576576576576,6.821106821106821,Midlands
nottingham_univers,NA,RX1CC0,Nottingham University Hospitals Nhs Trust - City Campus,NG5 1PB,England,-1.16008,52.99022,E38000132,NG5,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,NA,RX1CC1,Nottingham University Hospitals Nhs Trust - City Campus,NG5 1PB,England,-1.16008,52.99022,E38000132,NG5,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,NA,RX1RA0,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.185,52.94435,E38000132,NG7,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,NA,RX1RA1,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.185,52.94435,E38000132,NG7,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
nottingham_univers,nottingham_univers,RX1RR,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.185,52.94435,E38000132,NG7,Nottingham,Acute,8115.557228915663,2.764784300456827,8360.240666710286,2.726405927347291,1.0494075639036313,2679.8322952074573,5602,3.0990621745923757,0.2970721015440984,0.5546322952106778,0.2767011253598534,0.5053421879089244,142977,5,9,128790.9748995984,4.214859437751004,7.994979919678715,Midlands
east_suffolk_and_n,east_suffolk_and_n,RDEE,Colchester General Hospital,CO4 5JL,England,0.8997715,51.91029,E38000117,CO4,Colchester,Acute,15038.356481481482,-0.7422270942064815,15367.00452555589,-0.7937100278215427,0.7693010315620246,159.63497669425732,14524,-1.3726545187886783,0.08713302177280938,0.18928266082115697,0.03151175423145904,0.1068166185612075,95840,3,6,92383.2175925926,3.1972222222222224,5.862962962962963,East of England
east_suffolk_and_n,NA,RDEE41,Colchester General Hospital,CO4 5JL,England,0.8997715,51.91029,E38000117,CO4,Colchester,Acute,15038.356481481482,-0.7422270942064815,15367.00452555589,-0.7937100278215427,0.7693010315620246,159.63497669425732,14524,-1.3726545187886783,0.08713302177280938,0.18928266082115697,0.03151175423145904,0.1068166185612075,95840,3,6,92383.2175925926,3.1972222222222224,5.862962962962963,East of England
