redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14151,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,L14,Liverpool,6823.02398989899,2.2652371023484847,6975.550865645402,2.181793994121917,12.779332124269942,499.8389986082434,3462,2.5084938481910566,0.48335066410814403,0.6279407823504819,0.23910251599969984,0.44360065606809385
