redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,nhs_region
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7AIAU,Betsi Cadwaladr University Health Board,LL18 5UJ,Wales,-3.4970182,53.2713109,W11000023,LL18,Conwy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,North West
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,North West
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488,London
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14151,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,North West
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,North West
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester,6514.57908496732,3.1806041768614377,6424.496357778453,3.2831024248428524,3.1527475384167656,1375.997691862462,4181,3.6899008856153848,0.43115754074021073,0.5979504180852946,0.3301373211932574,0.5881695874003979,North West
Cardiff and Vale University Health Board,cardiff_and_vale_u,A74BV,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales
Epsom & St Helier NHSFT,epsom__st_helier_n,aRVR05,St Helier Hospital,SM5 1AA,England,-0.184798,51.38041,E38000179,SM5,Sutton,21253.128246753247,-0.11400410648701298,21535.632955728757,-0.26867323116525194,17.044249653049857,16427.23948450828,22933,-0.7380143681478873,0.007467945683842942,0.05497880575978459,0.04429753978521767,0.12084924216128659,London
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L12 2AP,England,-2.8968504,53.419159,E38000101,L12,Liverpool,6823.02398989899,2.2652371023484847,6975.550865645402,2.181793994121917,12.779332124269942,499.8389986082434,3462,2.5084938481910566,0.48335066410814403,0.6279407823504819,0.23910251599969984,0.44360065606809385,North West
Derbyshire Healthcare NHSFT,derbyshire_healthc,DEA01,Derbyshire Healthcare NHSFT,DE22 3LZ,England,-1.512301,52.918022,E38000229,DE22,Derby,17082.327772628978,-0.8025117761575533,17006.682207707327,-0.7818971932763845,-3.8186739054206345,8087.363002828692,16770.316455696207,-1.477599693277108,0.0736318539236899,0.18889772953311926,0.04605885433369733,0.11444586075173441,Midlands
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,G450H,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.340215199999999,55.8628356,S08000031,G51,Glasgow,2759.3960690887434,1.3193257965939051,2936.76687469141,1.0537354141419562,0.9896124546215826,294.326429962509,2542,0.858830195,0.20630390591291428,0.34623531557338766,0.19440601744561034,0.3183223390106444,Scotland
