redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
derbyshire_healthc,derbyshire_healthc,DEA01,derbyshire_healthc,DE22 3LZ,England,-1.512301,52.918022,E38000229,DE22,Derby,Community,Midlands
nottingham_univers,nottingham_univers,RC1CC,nottingham_univers,NG7 2RD,England,-1.1951582,52.938636,E38000132,NG7,Nottingham,Acute,Midlands
university_hospitai,university_hospitai,REWAA,university_hospitai,NA,NA,NA,NA,NA,NA,NA,Acute,NA
nottinghamshire_he,nottinghamshire_he,RHAPA,nottinghamshire_he,NA,NA,-0.9936305999999998,53.100319,NA,NA,NA,Mental,NA
shropshire_communi,shropshire_communi,RIDHQ,shropshire_communi,SY3 8XL,England,-2.7894656,52.70647409999999,E38000147,SY3,Shropshire,Community,Midlands
lincolnshire_partn,lincolnshire_partn,RP7SG,lincolnshire_partn,NA,NA,-0.1601246,52.9451889,NA,NA,NA,Community,NA
leicestershire_par,leicestershire_par,RT5KP,leicestershire_par,NA,NA,-1.2052126,52.772571,NA,NA,NA,Community,NA
leicestershire_par,leicestershire_par,RTGKP,leicestershire_par,NA,NA,-1.2052126,52.772571,NA,NA,NA,Community,NA
nottingham_univers,nottingham_univers,RXICC,nottingham_univers,NG7 2RD,England,-1.1951582,52.938636,E38000132,NG7,Nottingham,Acute,Midlands
nottingham_univers,nottingham_univers,RXRXA,nottingham_univers,NG7 2RD,England,-1.1951582,52.938636,E38000132,NG7,Nottingham,Acute,Midlands
lincolnshire_commu,lincolnshire_commu,RY5HQ,lincolnshire_commu,NG34 7DF,England,-0.4093326,53.0003051,E38000165,NG34,North Kesteven,Community,Midlands
mid_and_south_esse,mid_and_south_esse,RAT01,Southend Hospital,SS0 0RY,England,0.6877328,51.55386,E38000168,SS0,Southend-on-Sea,Acute,East of England
bedfordshire_hospi,bedfordshire_hospi,RC112,bedfordshire_hospi,MK42 9DJ,England,-0.4712227,52.1286233,E38000010,MK42,Bedford,Acute,East of England
east_suffolk_and_n,east_suffolk_and_n,RDE44,east_suffolk_and_n,NA,NA,0.9707800999999999,52.1872472,NA,NA,NA,NA,NA
north_west_anglia,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,PE3,Peterborough,Acute,East of England
basildon_and_thurr,basildon_and_thurr,RRDH0,basildon_and_thurr,SS16 5NL,England,0.4522057,51.55696340000001,E38000007,SS16,Basildon,NA,East of England
hertfordshire_part,hertfordshire_part,RWR99,hertfordshire_part,NA,NA,-0.2376744,51.80978229999999,NA,NA,NA,Mental,NA
mid_and_south_esse,mid_and_south_esse,TAJ01,Southend Hospital,SS0 0RY,England,0.6877328,51.55386,E38000168,SS0,Southend-on-Sea,Acute,East of England
university_college,university_college,14142,university_college,NA,NA,-79.3957289,43.6631609,NA,NA,NA,Acute,NA
east_london_founda,east_london_founda,14152,east_london_founda,NA,NA,0.0655092,51.55633,NA,NA,NA,Acute,NA
epsom__st_helier_n,epsom__st_helier_n,aRVR05,St Helier Hospital,SM5 1AA,England,-0.184798,51.38041,E38000179,SM5,Sutton,Acute,London
kings_college_hosp,kings_college_hosp,R1Z01,kings_college_hosp,SE5 9RS,England,-0.0938548,51.4681404,E38000092,SE5,Lambeth,Acute,London
barking_havering_a,barking_havering_a,RFQ4H,barking_havering_a,RM7 0AG,England,0.180049,51.5679484,E38000077,RM7,Havering,NA,London
london_north_west,london_north_west,RIK04,london_north_west,NA,NA,-81.3058547,43.0049596,NA,NA,NA,Acute,NA
chelsea__westminst,chelsea__westminst,RMQ91,chelsea__westminst,NA,NA,-73.9966639,40.7419449,NA,NA,NA,Acute,NA
hounslow_and_richm,hounslow_and_richm,RY901,hounslow_and_richm,TW11 8HU,England,-0.3260077,51.4274856,E38000140,TW11,Richmond upon Thames,Community,London
the_royal_marsden,the_royal_marsden,RYP01,the_royal_marsden,SW3 6JJ,England,-0.1729471,51.49097889999999,E38000202,SW3,Kensington and Chelsea,Acute,London
south_tyneside_and,south_tyneside_and,R0B0Q,south_tyneside_and,NA,NA,-1.4418634,54.9636693,NA,NA,NA,Community,NA
south_tyneside_and,south_tyneside_and,R0B01,south_tyneside_and,NA,NA,-1.4418634,54.9636693,NA,NA,NA,Acute,NA
york_teaching_hosp,york_teaching_hosp,RBCBA,york_teaching_hosp,YO31 8HE,England,-1.0835598,53.9700066,E38000188,YO31,York,NA,North East and Yorkshire
harrogate_district,harrogate_district,RDC01,harrogate_district,NA,NA,-1.5418447,53.9921193,NA,NA,NA,Acute,NA
mid_yorkshire_hosp,mid_yorkshire_hosp,RFX05,mid_yorkshire_hosp,NA,NA,NA,NA,NA,NA,NA,NA,NA
north_cumbria_inte,north_cumbria_inte,RNN62,north_cumbria_inte,NA,NA,NA,NA,NA,NA,NA,Acute,NA
north_cumbria_inte,north_cumbria_inte,RNNBD,north_cumbria_inte,NA,NA,NA,NA,NA,NA,NA,Community,NA
west_cumberland_ho,west_cumberland_ho,RNNBX,west_cumberland_ho,NA,NA,-85.1921004,35.9750211,NA,NA,NA,Acute,NA
north_cumbria_inte,north_cumbria_inte,RNNCL,north_cumbria_inte,NA,NA,NA,NA,NA,NA,NA,Community,NA
south_tees_hospita,south_tees_hospita,RTRTA,south_tees_hospita,NA,NA,NA,NA,NA,NA,NA,Acute,NA
humber_teaching_nh,humber_teaching_nh,RV901,humber_teaching_nh,YO25 9LH,England,-0.4752873,53.9896444,E38000052,YO25,East Riding of Yorkshire,Community,North East and Yorkshire
calderdale_and_hud,calderdale_and_hud,RWy01,calderdale_and_hud,NA,NA,-1.8658357,53.7247845,NA,NA,NA,Acute,NA
rotherham_doncaste,rotherham_doncaste,RXE07,rotherham_doncaste,NA,NA,-1.3635009,53.4326035,NA,NA,NA,Community,NA
rotherham_doncaste,rotherham_doncaste,RXE92,rotherham_doncaste,NA,NA,-1.3635009,53.4326035,NA,NA,NA,Community,NA
leeds_community_he,leeds_community_he,RY651,leeds_community_he,LS12 5SG,England,-1.6011659,53.7824956,E38000225,LS12,Leeds,Community,North East and Yorkshire
calderdale_and_hud,calderdale_and_hud,RYW01,calderdale_and_hud,NA,NA,-1.8658357,53.7247845,NA,NA,NA,Acute,NA
alder_hey_children,alder_hey_children,CBS25,alder_hey_children,L14 5AB,England,-2.8960515,53.4182239,E38000101,L14,Liverpool,Acute,North West
manchester_univers,manchester_univers,R0A01,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
manchester_univers,manchester_univers,R0S02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
wirral_university,wirral_university,RBL17,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
wirral_university,wirral_university,RBLI4,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
aintree_university,aintree_university,REM20,aintree_university,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool,Acute,North West
royal_liverpool__b,NA,REMR0,royal_liverpool__b,CH47 4AL,England,-3.1847842,53.3873785,E38000208,CH47,Wirral,Acute,North West
