redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4VB,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,Acute,Wales
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,Acute,Wales
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7AIAU,Betsi Cadwaladr University Health Board,LL18 5UJ,Wales,-3.4970182,53.2713109,W11000023,LL18,Conwy,Acute,Wales
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,Wales
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,Wales
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,Acute,London
University College London Hospitals NHSFT,university_college,14152,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,Acute,London
Cardiff and Vale University Health Board,cardiff_and_vale_u,A74BV,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,Acute,Wales
Epsom & St Helier NHSFT,epsom__st_helier_n,aRVR05,St Helier Hospital,SM5 1AA,England,-0.184798,51.38041,E38000179,SM5,Sutton,Acute,London
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L12 2AP,England,-2.8968504,53.419159,E38000101,L12,Liverpool,Acute,North West
Derbyshire Healthcare NHSFT,derbyshire_healthc,DEA01,Derbyshire Healthcare NHSFT,DE22 3LZ,England,-1.512301,52.918022,E38000229,DE22,Derby,Community,Midlands
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,G450H,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.340215199999999,55.8628356,S08000031,G51,Glasgow,Acute,Scotland
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.340215199999999,55.8628356,S08000031,G51,Glasgow,Acute,Scotland
Nottingham University Hosptials NHS Trust,nottingham_univers,IR1RA,Nottingham University Hosptials NHS Trust,NG5 1PB,England,-1.1570212,52.9904528,E38000132,NG5,Nottingham,Acute,Midlands
Aberdeen Royal Infirmary,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1357086,57.1540765,S08000020,AB25,Aberdeen,Acute,Scotland
Livewell Southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth,Community,South West
Manchester University NHS Foundation Trust,manchester_univers,R0A01,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
South Tyneside and Sunderland NHS Foundation Trust,south_tyneside_and,R0B0Q,South Tyneside and Sunderland NHS Foundation Trust,NE34 0PL,England,-1.4277704,54.9714091,E38000163,NE34,South Tyneside,Community,North East and Yorkshire
South Tyneside and Sunderland NHS Foundation Trust,south_tyneside_and,R0B01,South Tyneside and Sunderland NHS Foundation Trust,NE34 0PL,England,-1.4277704,54.9714091,E38000163,NE34,South Tyneside,Acute,North East and Yorkshire
Manchester University NHS Foundation Trust,manchester_univers,R0S02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
Worcestershire Health and Care NHS Trust,worcestershire_hea,R1A0C,Worcestershire Health and Care NHS Trust,WR5 1JR,England,-2.1798262,52.19248289999999,E38000166,WR5,Worcester,Community,Midlands
Solent NHS Trust,solent_nhs_trust,R1CD4,Solent NHS Trust,PO1 2RY,England,-1.0922524,50.7968562,E38000137,PO1,Hampshire,Community,South East
King's College Hospital,kings_college_hosp,R1Z01,King's College Hospital,SE5 9RS,England,-0.0938548,51.4681404,E38000092,SE5,Lambeth,Acute,London
Torbay and south Devon Hospital,torbay_and_south_d,RA009,Torbay and south Devon Hospital,TQ2 7TD,England,-3.552757,50.4877399,E38000230,TQ2,Torbay,Acute,South West
Weston Area Health NHS Trust,weston_area_health,RA7C2,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,Acute,South West
Weston Area Health NHS Trust,weston_area_health,RA7C7,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,Acute,South West
Mid and South Essex University Hospitals Group,mid_and_south_esse,RAT01,Southend Hospital,SS0 0RY,England,0.6877328,51.55386,E38000168,SS0,Southend-on-Sea,Acute,East of England
Wirral University Teaching Hospital NHFT,wirral_university,RBLI4,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.37042899999999,E38000208,CH49,Wirral,Acute,North West
Bedfordshire Hospitals NHS Foundation Trust,bedfordshire_hospi,RC112,Bedfordshire Hospitals NHS Foundation Trust,MK42 9DJ,England,-0.4712227,52.1286233,E38000010,MK42,Bedford,Acute,East of England
Poole Hospital NHS Trust,poole_hospital_nhs,RD300,Poole Hospital NHS Trust,BH15 2JB,England,-1.9737732,50.7213346,E38000045,BH15,Poole,Acute,South West
Harrogate District Hospital,harrogate_district,RDC01,Harrogate District Hospital,HG2 7SX,England,-1.5175624,53.9937105,E38000073,HG2,Harrogate,Acute,North East and Yorkshire
Sussex Community NHSFT,sussex_community_n,RDR05,Brighton General Hospital,BN2 3EW,England,0.1145,50.831,E38000021,BN2,Brighton and Hove,Community,South East
University Hospitals of North Midlands NHS Trust,university_hospitak,REJ01,Royal Stoke University Hospital,ST4 6QG,England,-2.21294,53.00381,E38000175,ST4,Staffordshire,Acute,Midlands
Aintree University Hospital,aintree_university,REM20,Aintree University Hospital,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool,Acute,North West
Royal Liverpool & Broadgreen University Hospitals NHSFT,NA,REMR0,Royal Liverpool & Broadgreen University Hospitals NHSFT,CH47 4AL,England,-3.1847842,53.3873785,E38000208,CH47,Wirral,Acute,North West
Leicester Royal Infirmary,university_hospitai,REWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1355658,52.62555589999999,E38000097,LE1,Leicester,Acute,Midlands
Barking Havering and Redbridge University NHS Trust,barking_havering_a,RF4FH,Barking Havering and Redbridge University NHS Trust,RM7 0AG,England,0.1790309,51.5689553,E38000077,RM7,Havering,Community,London
Nottinghamshire Healthcare NHS Foundation Trust,nottinghamshire_he,RHAPA,Nottinghamshire Healthcare NHS Foundation Trust,NG3 6AA,England,-1.1262896,52.9793569,E38000132,NG3,Gedling,Mental,Midlands
Brighton and Sussex University Hospitals NHS Trust,brighton_and_susse,RHX01,Royal Sussex County Hospital,BN2 5BE,England,-0.1182958,50.81935,E38000021,BN2,Brighton and Hove,Acute,South East
Shropshire Community Health NHS Trust,shropshire_communi,RIDHQ,Shropshire Community Health NHS Trust,SY3 8XL,England,-2.7893873,52.70587,E38000147,SY3,Shropshire,Community,Midlands
London North West University Healthcare NHS Trust,london_north_west,RIK04,London North West University Healthcare NHS Trust,HA1 3UJ,England,-0.322738,51.57544230000001,E38000020,HA1,Harrow,Acute,London
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.738597299999999,50.470256,E38000089,PL31,Cornwall,Community,South West
Wirral University Teaching Hospital NHFT,wirral_university,RLB14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.37042899999999,E38000208,CH49,Wirral,Acute,North West
Great Western NHS FT,great_western_nhs,RM325,Great Western NHS FT,SN3 6BB,England,-1.7274933,51.5384082,E38000181,SN3,Swindon,Acute,South West
