redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
derbyshire_healthc,derbyshire_healthc,DEA01,derbyshire_healthc,NA,NA,-77.40561869999999,39.4421912,NA,NA,NA,Community,NA
shropshire_communi,shropshire_communi,RIDHQ,shropshire_communi,SY3 8XL,England,-2.7894656,52.70647409999999,E38000147,SY3,Shropshire,Community,Midlands
east_suffolk_and_n,NA,RDEE41,Colchester General Hospital,CO4 5JL,England,0.8997715,51.91029,E38000117,CO4,Colchester,Acute,East of England
east_london_founda,east_london_founda,14152,east_london_founda,NA,NA,0.0655092,51.55633,NA,NA,NA,Acute,NA
manchester_univers,NA,R0A071,Wythenshawe Hospital,M23 9LT,England,-2.292308,53.38822,E38000217,M23,Manchester,Acute,North West
manchester_univers,manchester_univers,R0S02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
bolton_nhst,bolton_nhst,RMC,Royal Bolton Hospital,BL4 0JR,England,-2.433355,53.55443,E38000016,BL4,Bolton,Acute,North West
bolton_nhst,NA,RMC011,Royal Bolton Hospital,BL4 0JR,England,-2.433355,53.55443,E38000016,BL4,Bolton,Acute,North West
university_hospita,university_hospita,RTX020,Royal Lancaster Infirmary,LA1 4RP,England,-2.80002,54.04307,E38000228,LA1,Lancaster,Acute,North West
royal_preston_hosp,royal_preston_hosp,RXN,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,North West
royal_preston_hosp,NA,RXN026,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,North West
royal_preston_hosp,NA,RXN6,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,North West
royal_preston_hosp,royal_preston_hosp,RXNX02,Royal Preston Hospital,PR2 9HT,England,-2.704496,53.79086,E38000227,PR2,Preston,Community,North West
