redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,CF14,Cardiff
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,NP11,Caerphilly
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,NP11,Caerphilly
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14151,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,M8,Manchester
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,L14,Liverpool
Frimley Health NHSFT,frimley_health_nhs,DRU01,Frimley Health NHSFT,GU16 7UJ,England,-0.7405399,51.319438,E38000178,GU16,Surrey Heath
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031,G51,Glasgow
Aberdeen Royal Infirmary,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020,AB25,Aberdeen
Livewell Southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth
Manchester University Hospital,manchester_univers,R0A01,Manchester University Hospital,M15 6FH,England,-2.2369592,53.4655956,E38000217,M15,Manchester
South Tyneside and Sunderland NHS Foundation Trust,south_tyneside_and,R0B0Q,South Tyneside and Sunderland NHS Foundation Trust,NE34 0PL,England,-1.4277704,54.9714091,E38000163,NE34,South Tyneside
Worcestershire Health and Care NHS Trust,worcestershire_hea,R1A0C,Worcestershire Health and Care NHS Trust,WR5 1JR,England,-2.1798262,52.1924829,E38000166,WR5,Worcester
King's College Hospital,kings_college_hosp,R1Z01,King's College Hospital,SE5 9RS,England,-0.0938548,51.4681404,E38000092,SE5,Lambeth
Torbay and south Devon Hospital,torbay_and_south_d,RA009,Torbay and south Devon Hospital,TQ2 7TD,England,-3.552757,50.4877399,E38000230,TQ2,Torbay
Weston Area Health NHS Trust,weston_area_health,RA7C2,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset
Weston Area Health NHS Trust,weston_area_health,RA7C7,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAJ02,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,SS1,Southend-on-Sea
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAT01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,SS1,Southend-on-Sea
Shrewsbury & Telford Hospital NHS Trust,shrewsbury__telfor,RAWAS,Royal Shrewsbury Hospital,SY3 8XQ,England,-2.79373741149902,52.7093620300293,E38000147,SY3,Shropshire
Bedford Hospital NHS Trust,bedford_hospital_n,RC112,Bedford Hospital NHS Trust,MK42 9DJ,England,-0.4732078,52.1287579,E38000010,MK42,Bedford
East Sussex Healthcare NHS Trust,east_sussex_health,RCX01,East Sussex Healthcare NHS Trust,TN37 7PT,England,0.5681561,50.8849912,E38000076,TN37,Hastings
Royal United Hospitals Bath NHSFT,royal_united_hospi,RD120,Royal United Hospitals Bath NHSFT,BA1 3NG,England,-2.3907418,51.3918072,E38000009,BA1,Bath and North East Somerset
Poole Hospital NHS Trust,poole_hospital_nhs,RD300,Poole Hospital NHS Trust,BH15 2JB,England,-1.9737912,50.7213497,E38000045,BH15,Poole
Basildon and Thurrock University Hospitals NHS,basildon_and_thurr,RDHH0,Basildon and Thurrock University Hospitals NHS,SS16 5NL,England,0.4514304,51.5582929,E38000007,SS16,Basildon
Sussex Community NHSFT,sussex_community_n,RDR05,Brighton General Hospital,BN2 3EW,England,0.1145,50.831,E38000021,BN2,Brighton and Hove
Ipswich Hospital,ipswich_hospital,RED03,Ipswich Hospital,IP4 5PD,England,1.1981153,52.0579075,E38000086,IP4,Ipswich
University Hospitals of North Midlands NHS Trust,university_hospital,REJ01,University Hospitals of North Midlands NHS Trust,ST4 6QG,England,-2.2129403,53.0038144,E38000175,ST4,Staffordshire
Aintree University Hospital,aintree_university,REM20,Aintree University Hospital,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool
University Hospitals of Derby and Burton NHFT,university_hospitai,RGT02,University Hospitals of Derby and Burton NHFT,DE22 3NE,England,-1.5139933,52.9106394,E38000229,DE22,Derby
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.7385973,50.470256,E38000089,PL31,Cornwall
Lewisham and Greenwich NHS Trust,lewisham_and_green,RJ2319,Lewisham and Greenwich NHS Trust,SE4 2LA,England,-0.0422111,51.4570454,E38000098,SE4,Lewisham
Imperial College Healthcare NHS Trust,imperial_college_h,RJY02,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,W2,Westminster
George Eliot Hospital,george_eliot_hospi,RL101,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,CV10,Nuneaton & Bedworth
Wirral University Teaching Hospital NHFT,wirral_university,RLB14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,CH49,Wirral
Salford Royal NHSFT,salford_royal_nhsf,RM304,Salford Royal NHSFT,M6 8HD,England,-2.3238955,53.487482,E38000143,M6,Salford
Whiston Hospital,whiston_hospital,RMN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091,L35,Knowsley
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ01,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,SW10,Kensington and Chelsea
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,SW10,Kensington and Chelsea
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.258883,51.4352521,E38000043,DA2,Dartford
North West Anglia NHSFT,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,PE3,Peterborough
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,CA11,Eden
West Cumberland Hospital,west_cumberland_ho,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215,CA28,Copeland
Royal Preston Hospital,royal_preston_hosp,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston
Homerton University Hospital,homerton_universit,RQZM1,Homerton University Hospital,E9 6SR,England,-0.0461232,51.5504182,E38000035,E9,Hackney
University Hospitals Birmingham,university_hospitaf,RRK01,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham
University Hospitals Birmingham,university_hospitaf,RRK02,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham
University Hospitals Birmingham,university_hospitaf,RRK03,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,B15,Birmingham
Wirral University Teaching Hospital NHFT,wirral_university,RRL14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,CH49,Wirral
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington
East Kent Hospitals NHSFT,east_kent_hospital,RV001,William Harvey Hospital (Ashford),TN24 0LZ,England,0.916223049163818,51.141487121582,E38000002,TN24,Ashford
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington
East Kent Hospitals NHSFT,east_kent_hospital,RVV00,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.38939869403839,51.3780517578125,E38000184,CT9,Kent
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston
The Princess Alexandra Hospital,NA,RWQG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197,CM20,Harlow
Hertfordshire Partnership NHS Foundation Trust,hertfordshire_part,RWR01,Hertfordshire Partnership NHS Foundation Trust,AL3 5TQ,England,-0.3451309,51.7625796,E38000079,AL3,St Albans
Leicester Royal Infirmary,university_hospitaj,RWWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1354407,52.6257466,E38000097,LE1,Leicester
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester
NUH Nottingham University Hosptial,nuh_nottingham_uni,RXICC,NUH Nottingham University Hosptial,NG5 1PB,England,-1.1570212,52.9904528,E38000132,NG5,Nottingham
